Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Expandable Memory,Graphic Processor,Number of Cores,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,price,off_percentage,rating,Model Name,Battery Cell,Clock Speed,Backlit Keyboard,Processor Generation,Cache,OS Architecture,Supported Operating System,HDMI Port,Hardware Interface,Finger Print Sensor,EMMC Storage Capacity,RAM Frequency,System Architecture,Chipset,RPM,Multi Card Slot,Sound Chip,Ethernet,Security Chip,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,RJ45,Refresh Rate,HDD Capacity,Memory Slots,Lock Port,Antivirus,Other Accessories,NFC Support,Dock Port,Firewire Port,RJ11,VGA Port,Read/Write Speed,Laptop Bag,TGP,Stylus Included,Inbuilt 4G LTE,Color Gamut,Brightness,Wireless WAN,Recovery Options,International Warranty,Face Recognition,S-video,Optane Memory,Cloud Storage
"Laptop, battery, adapter, cables and user manuals",D560587WIN9S,D560587WIN9S,,Platinum Silver,Laptop,Everyday Use,Upto 6 hours,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,,,Intel Integrated DDR4,,Windows 10 Home,,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,,,,,v5.0,,,Not Available,,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,,"₹57,500",35% off,3.4,Inspiron 3511,,,,11th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",FA0187TX,FA0187TX,,Black,Gaming Laptop,Gaming,UPTO 8 HRS,,Yes,Intel,Core i7,Yes,1 TB,16 GB,DDR4,,,NVIDIA GeForce RTX NVIDIA® GeForce RTX™ 3050,,Windows 11 Home,,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,,,,,YES,,,Not Available,,,,,,1-year warranty,Onsite,Manufacturing Defects,Physical Damage,,"₹91,690",1% off,,Victus Gaming,,,,12th Gen,,,,,,,,,,,,,,,,GDDR6,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide",M433UA-EB584TS,90NB0TM3-M03550,Vivobook S14,Dreamy White,Thin and Light Laptop,Travel & Business,Upto 8 Hrs.,,Yes,AMD,Ryzen 5 Hexa Core,Yes,1 TB,8 GB,DDR4,Ryzen-5 5500U,,AMD Radeon AMD Radeon,6,Windows 10 Home,Yes,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",No,35.81 cm (14.1 inch),1920 x 1080 pixel,"14.0-inch,FHD (1920 x 1080) 16:9,IPS-level Panel,Anti-glare display,LED Backlit,250nits,NTSC: 45%,Screen-to-body ratio: 85 ?",harman/kardon Verified,Yes,harmon/ kardon Audio by ICEpower® Built-in speaker Built-in array microphone Built-in microphone harman/kardon (Mainstream) with Cortana support,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,5.0,"32.40 x 21.30 x 1.59 ~ 1.59 cm (12.76"" x 8.39"" x 0.63"" ~ 0.63"")",1.4 kg,Not Available,720p HD,Backlit Chiclet Keyboard,MultiGesture Touchpad,"Windows 10 Home, Microsoft Office Home & Student 2019",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Any Type of Damage,1 Year,"₹52,990",32% off,,Vivobook S14,,2.1 Ghz With Turbo Upto 4.10,Yes,,8 MB,64 bit,,1x HDMI 1.4,NVMe™ PCIe® 3.0 SSD,Yes,,3200 MHz,64 Bit,,,Micro SD card reader,,,,,,,,,,,,,,,,,,,No,,,,,,Wi-Fi 6(802.11ax),,1 Year,,,,
"Laptop, AC Adapter, User Guide, Manuals",IdeaPad 1 15ADA7,82R10049IN,,Cloud Grey,Laptop,Processing & Multitasking,UPTO 6 HRS,,Yes,AMD,Ryzen 3 Dual Core,Yes,512 GB,8 GB,DDR4,,,AMD Radeon,,Windows 11 Home,,,No,39.62 cm (15.6 inch),1920x1080$$Pixels pixel,,,,,,YES,,,Not Available,,,,,,1 YEAR,ONSITE,MANUFACTURING DAMAGE,PHYSICAL DAMAGE,,"₹34,998",35% off,3.9,IdeaPad 1 15ADA7,,,,3rd Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, battery, power adapter, user guide",Prestige 14 H B12UCX-412IN,9S7-14F122-412,,Silver,Thin and Light Laptop,Processing & Multitasking,,,No,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5,12450H,,NVIDIA GeForce RTX 2050,,Windows 11 Home,,"2 x Type-C (USB / DP / Thunderbolt 4) with PD charging, 1 x Type-A USB3.2 Gen2",No,35.56 cm (14 Inch),1920 x 1200 Pixel,"Full HD+, 100% sRGB, 400nits, Lower Power IPS-Level panel",2 x 2W,Yes,,Intel Wi-Fi 6E AX211,v5.2,314 x 227.5 x 17.9 mm,1.49 Kg,Not Available,HD type (30fps@720p),Single Backlit Keyboard (White),,,,2 Year Carry-in warranty,Carry-in,Part Failure,"Physical Damage, Burn, Liquid Spill",,"₹89,990",19% off,,Prestige 14 H B12UCX-412IN,4 Cell,3.3 GHz upto max turbo frequency at 4.4 Ghz,Yes,12th Gen,,,,1 x HDMI 2.1 (4K @ 60Hz),,,,,,,,,,,,GDDR6,4 GB,,60 Hz,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",Inspiron 3501,D560396WIN9BE,Inspiron 3501,Accent Black,Thin and Light Laptop,Processing & Multitasking,Upto 8 hours,,Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,1005G1,Upto 16 GB,Intel Integrated UHD,2,Windows 10 Home,Yes,"2 x USB 3.2 (1st Gen), 1 x USB 2.0",No,38.0 cm (14.96 Inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare Display,Built-in Speakers,Built-in Microphone,Waves Maxx Audio Pro,IEEE 802.11ac,v5.0,364 x 249 x 20 mm,1.83 kg,Not Available,HD Webcam,English International Non Backlit Keyboard,Touchpad,Microsoft Office Home and Student 2019,Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹36,990",19% off,3.9,,3 cell,1.2 GHz with Turbo Boost Upto 3.4 GHz,No,10th Gen,4 MB,64 bit,,1 x HDMI Port (v1.4),M.2 SATA,No,,2666 MHz,64 bit,,,"3-in-1 Card Reader (SD, SDHC, SDXC)",,Yes,,,,Yes,,,2 Slots,Kensington Lock Slot,,,,,,,,,,,,,,,,,,,,,
"Laptop, battery, adapter, cables and user manuals",Inspiron 3505,D560429WIN9S/D560617WIN9SE,Inspiron,Softmint,Notebook,"Processing & Multitasking, Everyday Use",Upto 7 hours,,Yes,AMD,Ryzen 3 Dual Core,No,,8 GB,DDR4,3250U,16,AMD Radeon Vega,2,Windows 10,Yes,"USB 3.2 Gen 1 (x2),USB2.0 (x1)",No,39.62 cm (15.6 inch),1920x1080 Pixel,FHD LED Backlit Anti-Glare Display,Built in Speakers,Built-in Microphones,Waves Maxx Audio Pro,802.11 AC,v4.1,249x364x20,1.83 Kg,Not Available,HD Webcam,English Non Backlit Keyboard,Touchpad,Microsoft Office Home and Student 2019,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"₹36,990",25% off,4.1,Inspiron 3505,3,2.3 GHz to max turbo frequency at 3.5 Ghz,No,,4,64 bit,Windows 10,1x HDMI (v1.4),NA,,,2400 Mhz,64,,5400,"SD Media Card Reader (SD, SDHC, SDXC)",,Available,,,,Yes,,1 TB,2,Kensington Lock Port,McAfee,,,,,,No,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",TMP214-41-G3,UN.VSQSI.006,Travelmate,Black,Thin and Light Laptop,Processing & Multitasking,,,No,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,5500U,,AMD Radeon AMD,,Windows 11 Home,,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4), 1 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",No,35.56 cm (14 Inch),1366 x 768 Pixel,HD,Yes,Yes,,,Yes,328 x 236 x 19.9 mm,1.59 Kg,Not Available,HD webcam with Privacy Camera Physical Shutter,Fine Tip keyboard,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,"₹59,999",,,TMP214-41-G3,,2.1 GHz with Turbo Boost Upto 4.0 GHz,No,,,,,1 x HDMI 2.0 Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",A315-59,NX.K6TSI.002,Aspire,Pure Silver,Notebook,"Entertainment, Performance, Processing & Multitasking",,45 W,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,,32,Intel Integrated Iris Xe Graphics,10,Windows 11 Home,,3 x USB 3.2 Gen 1 Port,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,,,,,802.11a/b/g/n/ac wireless LAN,v5.0,362.9 x 241.26 x 19.9 mm,1.7 Kg,Not Available,"1280 x 720 Resolution, 720p HD video at 30fps",,,,,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹48,177",27% off,3.9,Aspire 3,,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",,12th Gen,,64 bit,Windows 11 Home,1 x HDMI Port,"PCIe Gen3, 8 Gb/s, NVMe",,,,64 bit,,,,,Gigabit Ethernet,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Adaptor & Manual",X1502ZA-EJ515WS,90NB0VX2-M00N20,Vivobook 15,Silver,Laptop,"Processing & Multitasking, Travel & Business, Everyday Use, Processing & Multitasking",Upto 6 Hrs.,65W AC Adapter,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,i5-1235U,Upto 20 GB,Intel Integrated Iris Xe,10,Windows 11 Home,Yes,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 inch),1920x1080$$Pixels pixel,"(39.62cm)15.6-inch, FHD (1920 x 1080) 16:9, LED Backlit, 60Hz refresh rate, 200nits, NTSC: 45%, Anti-glare display, TÜV Rheinland-certified, (Screen-to-body ratio)82%",SonicMaster Built-in speaker Built-in microphone with Cortana and Alexa voice-recognition support,Yes,SonicMaster Built-in speaker Built-in microphone with Cortana and Alexa voice-recognition support,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5.1,5.0,35.97 x 23.25 x 1.99 ~ 1.99 cm,1.7 kg,Not Available,720p HD camera With privacy shutter,"Chiclet Keyboard, 1.4mm Key-travel, Precision Touchpad",Multigesture Touchpad,"Windows 11, Microsoft Office H&S 2021, 1 Year McAfee",,1 Year international Warranty,Onsite,Manufacturing Defects,Any Type of Damage,1 Year,"₹50,500",27% off,4.5,X1502ZA-EJ515WS,"42WHrs, 3S1P, 3-cell Li-ion",1.3 Ghz. Turbo Upto 4.4 Ghz.,,12th Gen,,64 bit,,1x HDMI,M.2 NVMe™ PCIe® 3.0 SSD,Yes,,3200 MHz,64 Bit,,,,SonicMaster,,,,,,60 Hz,,,,1 Year McAfee,,,,,,,,No,,,,,,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5.1,,1 Year,,,,
"Laptop, Power adapter, Laptop Bag, MSI Dual Drive 128GB, MSI Lucky Figure Keychain, MSI Gaming Mouse M99",Titan GT77HX 13VH-093IN,9S7-17Q211-093,,Core Black,Gaming Laptop,"Gaming, Processing & Multitasking",,330W adapter,No,Intel,Core i9,Yes,2 TB,64 GB,DDR5,13980HX,,NVIDIA GeForce RTX 4080,,Windows 11 Home,,"1 x Type-C (USB / DP / Thunderbolt 4) with PD charging, 1 x Type-C (USB / DP / Thunderbolt 4), 3 x Type-A USB3.2 Gen2",No,43.94 cm (17.3 Inch),3840 x 2160 Pixel,"UHD,144Hz, Mini LED, HDR 1000, 100% DCI-P3, IPS-Level panel",Built-in Speakers,Yes,,Intel Killer Wi-Fi 6E AX1690(i),v5.2,397 x 330 x 23 mm,3.3 Kg,Not Available,IR HD type (30fps@720p),Cherry Mechanical Per-Key RGB Gaming Keyboard by SteelSeries,,,,2 Year Carry-in Warranty,Carry-in,Part Failure,"Physical Damage, Burn, Liquid Spill",2 Year,"₹4,89,990",10% off,,Titan GT77HX 13VH-093IN,4 cell,Max Turbo Frequency up to 5.60 GHz,Yes,13th Gen,,,,1 x HDMI,,,,,,,,,,,,GDDR6,12 GB,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, battery, adapter, cables and user manuals",Inspiron 3520,D560920WIN9G,Inspiron,Dark Green Speckle,Thin and Light Laptop,Processing & Multitasking,Upto 7 hours,,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1215U,16 GB,Intel Integrated UHD,6,Windows 11 Home,Yes,"2 x USB 3.2 Gen 1 ports, 1 x USB 2.0 port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD WVA AG 120Hz 250 nits Narrow Border,Yes,Yes,Waves Maxx Audio Pro,Intel Wi-Fi 6 2x2 (Gig+),v5.2,358 x 235 x 21mm,1.65 Kg,Not Available,HD,Standard Keyboard,,,,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"₹42,800",34% off,4,Inspiron 3520,3 Cell,3.30 GHz Upto 4.40 GHz,No,12th Gen,10 MB,64 bit,Windows 11 Home,1 x HDMI 1.4,,No,,2666 MHz,64 bit,,,,,,,,,No,,,2,Kensington Lock Port,McAfee,,,No,No,No,,,No,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",M15R3 / AWM15R3,D569917WIN9,,Lunar Light,Gaming Laptop,Gaming,Upto 12 hours,,Yes,Intel,Core i7,Yes,1 TB,16 GB,DDR4,10750H,Upto 32 GB,NVIDIA GeForce RTX 2060,6,Windows 10 Home,Yes,"2 x USB 3.2 (1st Gen), 1 x USB 3.2 (Power Share), 1 x Thunderbolt 3",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (300 nits Brightness, 300 Refresh Rate)",Built-in Speaker,Built-in Microphone,Nahimic 3D Audio,Killer Wi-Fi 6 AX1650,v5.0,276 x 360 x 20.5 mm,2.5 kg,Not Available,HD Webcam,English International Backlit Keyboard,Touchpad,Microsoft Office Home and Student 2019,Li-ion Battery,1 Year Complete Cover Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹2,02,490",14% off,4.1,,6 cell,2.6 GHz with Turbo Boost Upto 5 GHz,Yes,10th Gen,12 MB,64 bit,,1 x HDMI Port (v2.0),M.2 SATA,No,,2666 MHz,64 bit,,,"3-in-1 Card Reader (SD, SDHC, SDXC)",,Yes,,GDDR6,6 GB,Yes,300 Hz,,2 Slots,Kensington Lock Slot,,,,,,,,,No,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",IdeaPad 3 15ITL6 Ub,82H802EYIN|82H801L3IN,IdeaPad 3 Intel,Arctic Grey,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Upto 12 hours,65 W Round Tip,Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,1115G4,Upto12GB,Intel Integrated UHD,2,Windows 11 Home,Yes,"1 x USB-C 3.2 Gen 1, 1 x USB 2.0 , 1 x USB 3.2 Gen 1",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD TN 250nits Anti-glare,Built-in dual stereo speakers,Built-in array microphones,"High Definition (HD) Audio, Realtek ALC3287 codec, Dolby Audio","11ac, 2x2",v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",,Office Home and Student 2021,45 Wh battery,2 Years Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,"₹36,990",38% off,4.3,15ITL6,,"Base Frequency 3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",No,11th Gen,6,64 bit,Windows 11 Home 64,1 x HDMI 1.4b,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Battery, Adapter, Cables and User Manuals",D560745WIN9B,D560745WIN9B,Inspiron 3511,Carbon Black,Laptop,Processing & Multitasking,UPTO 6 HRS,,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,,,Intel Integrated,,Windows 11 Home,,,No,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,,,,,,v5.2,,,Not Available,,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,,"₹50,700",26% off,4.1,Inspiron 15 3511,,,,11th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, battery, power adapter, Laptop Bag",Pulse 17 B13VGK-252IN,9S7-17L531-252,,Steel Gray,Gaming Laptop,"Gaming, Processing & Multitasking",,,No,Intel,Core i7,Yes,1 TB,16 GB,DDR5,13700H,,NVIDIA GeForce RTX 4070,,Windows 11 Home,,"1 x Type-C (USB3.2 Gen1 / DP), 2 x Type-A USB3.2 Gen1, 1 x Type-A USB2.0",No,43.94 cm (17.3 Inch),1920 x 1080 Pixel,"Full HD, 144Hz 45% NTSC",Yes,Yes,,Intel Wi-Fi 6 AX201(2*2 ax),v5.2,398 x 273 x 27.2 mm,2.7 Kg,Not Available,HD type (30fps@723p),4-Zone RGB Gaming Keyboard,,,,2 Year Carry-in Warranty,Carry-in,Manufacturing Defects,"Physical Damage, Burn, Liquid Spill",2 Year,"₹1,64,990",20% off,,Pulse 17 B13VGK-252IN,4 cell,3.7 GHz upto max turbo frequency at 5.0 Ghz,Yes,13th Gen,,,,,,,,,,,,,,,,GDDR6,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, AC Adapter, User Guide, Manuals",FX506HC-HN119W,90NR0724-M00J50,,Graphite Black,Gaming Laptop,Gaming,UPTO 6 HRS,,No,Intel,Core i5,Yes,1 TB,8 GB,DDR4,,,NVIDIA GeForce RTX RTX 3050,,Windows 11 Home,,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,,,,,YES,,,Not Available,,,,,,1 YEAR,ONSITE,MANUFACTURING DAMAGE,PHYSICAL DAMAGE,,"₹69,990",28% off,4.8,TUF Gaming F15,,,,11th Gen,,,,,,,,,,,,,,,,GDDR6,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, battery, power adapter, user guide",K6502HCB-LP902WS,90NB0YX2-M00670,"Vivobook Pro 15 For Creator, Intel H-Series",Cool Silver,Gaming Laptop,Gaming,,150W AC Adapter,Yes,Intel,Core i9,Yes,512 GB,16 GB,DDR4,11900H,,NVIDIA GeForce RTX 3050,,Windows 11 Home,,"1 x USB 3.2 Gen 2 Type-C support power delivery, 2 x USB 3.2 Gen 1 Type-A, 1 x Thunderbolt 4 supports display / power delivery",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, LED Backlit, IPS-level Panel, 144Hz refresh rate, 250nits, 100% sRGB color gamut, PANTONE Validated, Glossy display, 70% less harmful blue light",Built-in Speakers,Yes,,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.0,356.3 x 235.3 x 20.0 mm,1.80 Kg,Not Available,1080p FHD camera With privacy shutter,Backlit Chiclet Keyboard,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹87,990",27% off,4,K6502HCB-LP902WS,,2.5 GHz upto max turbo frequency at 4.9 Ghz,Yes,11th Gen,,,,,,Yes,,,,,,,,,,GDDR6,4 GB,,144 Hz,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",M515DA-BQ312TS,90NB0T42-M17690,VivoBook 15,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,45W AC Adapter,Yes,AMD,Ryzen 3 Dual Core,Yes,256 GB,4 GB,DDR4,AMD R3-3250U,,AMD Radeon,2,Windows 10 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD Anti-glare Display (250nits Brightness, 83% Screen-to-body Ratio, IPS-level Panel)",Built-in Speakers,Built-in Microphone,"Audio by SonicMaster, Cortana Support",Wi-Fi 5(802.11ac) Dual band (2*2),v4.2,360 x 235 x 19.9,1.80 Kg,Not Available,VGA Camera (Without Privacy Shutter),Chiclet Keyboard with Num-key,Touchpad,"Microsoft Office Home and Student 2019, Splendid (All models), Tru2Life (Intel Platform Models), Link to MyASUS (All Models, Bluetooth Needed)",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹34,990",18% off,4.3,,2 Cell,2.6 GHz with Turbo Boost Upto 3.5 GHz,No,,4,64 bit,,1 x HDMI 1.4,PCIe NVMe,Yes,,,64,NA,,No,,,Trusted Platform Module (Firmware TPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Battery, Adapter, Cables and User Manuals",Vostro 3425,D552308WIN9B,Vostro,Carbon Black,Thin and Light Laptop,Processing & Multitasking,Upto 7 hours,,Yes,AMD,Ryzen 3 Quad Core,Yes,256 GB,8 GB,DDR4,5425U,16 GB,AMD Radeon AMD,4,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type C Port, 1 x USB 3.2 Gen 1 Port?, 1 x USB 2.0 Port",No,35.56 cm (14 inch),1920 x 1080 Pixels,"Full HD, WVA AG Narrow Border, Brightness: 250 nits",Built-in Speaker,Built-in microphone,Waves Maxx Audio Pro,802.11 ac 1 x 1 WiFi,Bluetooth,323 x 220 x 18.6 mm,1.48 kg,Not Available,HD,Standard Keyboard,Keyboard,Microsoft Office Home & Student 2021,"4-Cell Battery, 54WHr",1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"₹37,990",25% off,,Vostro 3425,4 Cell,"Base Frequency 2.70 GHz, Max Turbo Boost Upto 4.10 GHz",No,,8 MB,64 bit,Windows 11 Home,1 x HDMI 1.4,M.2 SATA,No,,3200 MHz,64 bit,,,1 x SD 3.0 Card Slot,,10/100/1000 Mbps?,,,,Yes,,,2,Kensington Lock Port,McAfee,,,,No,,No,,No,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",Creator 15 A10SF-423IN,9S7-16V214-423,Creator 15,Grey,Gaming Laptop,Gaming,,230 W AC Adapter,No,Intel,Core i7,Yes,1 TB,32 GB,DDR4,10875H,,NVIDIA GeForce RTX 2070 Max-Q,8,Windows 10 Home,Yes,"1 x USB 3.2 Type C / Thunderbolt3 / PD, 1 x USB 3.2 Type C (2nd Gen), 1 x USB 3.2 Type A (2nd Gen)",No,39.62 cm (15.6 inch),3840 x 2160 Pixel,UHD (4K) LED Backlit Thin Bezel Display (100% Adobe),Built-in Dual Speakers,Built-in Microphones,2 x 2 W Stereo Speakers,Intel Wi-Fi 6 AX201 (2x2 ax),v5.1,358 x 248 x 19.8 mm,2.1 kg,Not Available,IR HD Webcam (720P at 30 fps),Single Backlight White Keyboard,Touchpad,"Nahimic 3, Cooler Boost, Trinity+, Creator Center, True Color 3.0",99.9 WHrs Li-ion Battery,2 Years Carry In Warranty,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",2 Year,"₹2,14,990",3% off,,,4 cell,2.3 GHz with Turbo Boost Upto 5.1 GHz,Yes,10th Gen,16 MB,64 bit,,1 x HDMI Port (4K at 60 Hz),,Yes,,2666 MHz,64 bit,Intel HM470,,SD Card Reader,Realtek ALC298,Yes,,GDDR6,8 GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, battery, power adapter, user guide",GX650PY-NM052WS,90NR0BI1-M002Y0,ROG Zephyrus Duo 16 with 90WHr Battery,Black,Gaming Laptop,Gaming,,330W AC Adapter,Yes,AMD,Ryzen 9 16 Core,Yes,2 TB,32 GB,DDR5,7945HX,,NVIDIA GeForce RTX 4090,,Windows 11 Home,,"1 x USB 3.2 Gen 2 Type-C support DisplayPort / G-SYNC, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC, 2 x USB 3.2 Gen 2 Type-A",No,40.64 cm (16 Inch),2560 x 1600 PIxel,"QHD+ WQXGA, 240Hz, 3ms, 85/85/85/85, Mini LED, 1100, 100000:1, 100, Anti-glare display",6-speaker(dual-force woofer) system with Smart Amplifier Technology,Yes,,Wi-Fi 6E(802.11ax) (Triple band) 2*2,v5.2,355 x 266 x 29.7 mm,2.67 Kg,Not Available,FHD 1080P@30FPS,Backlit Chiclet Keyboard Per-Key RGB,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹4,29,990",10% off,,GX650PY-NM052WS,4 cell,2.5 GHz upto max turbo frequency at 5.4 Ghz,Yes,,,,,1 x HDMI 2.1 FRL,,,,,,,,,,,,GDDR6,16 GB,,240 HZ,,,,,,,,,,,,,175 W,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",UX325EA-KG701WS,90NB0SL2-M008K0,Zenbook 13 Intel EVO,Lilac Mist,Thin and Light Laptop,Processing & Multitasking,,65W AC Adapter,Yes,Intel,Core i7,Yes,1 TB,16 GB,LPDDR4X,1165G7,,Intel Integrated Iris Xe Graphics,4,Windows 11 Home,Yes,"1x USB 3.2 Gen 1 Type-A, 2x Thunderbolt 4 supports display, power delivery",No,33.78 cm (13.3 Inch),1920 x 1080 Pixels,"FHD, OLED (550nits peak brightness, 100% DCI-P3 color gamut)",Built-in speaker,Built-in array microphone,,Wi-Fi 6(802.11ax),v5.0,304.2 x 203 x 13.9 mm,1.14 Kg,Not Available,HD camera,Backlit Chiclet Keyboard,,,"67WHrs, 4S1P, Li-ion battery",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹1,18,999",7% off,5,UX325EA-KG701WS,4,4.7,Yes,11th Gen,12,64 bit,Windows 11 Home,1x HDMI 2.0b,NVMe PCIe,,,,64,,,1 x Micro SD card reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
